text_key,zh_cn
evt.1001.title,重开后的第一天
evt.1001.desc,柳飞霞昨夜的试探还压在心口，你却已经不是那个会稀里糊涂死掉的外门杂役。白日真正开始了。你得先稳住玉简，理清谁在盯你，今天之内必须拿到第一条能保命的线索。
opt.1001_opt_01.text,先把昨夜露出的破绽和今天要确认的线头在心里排一遍
opt.1001_opt_01.result,你把柳飞霞的试探、族兄留下的玉简、以及外门里还有谁在盯着你这几件事重新压到一起。现在最重要的不是逞强，而是先抓到第一条真正能保命的线索。
evt.1002.title,王麻子的第一刀
evt.1002.desc,第二天一早，王麻子就把人堵在了广场边上。他照例点名、收钱、挑软柿子立规矩，可你已经看出来，他盯的从来不只是今天这点灵石，而是谁最适合被压成听话的药渣。
opt.1002_opt_01.text,先交灵石，把这一轮摊派糊弄过去
opt.1002_opt_01.result,你把灵石递出去，换来一时无事。王麻子嘴上不咸不淡，眼神却像在记账：他记住的不是你交了多少，而是你愿意低头到什么地步。
opt.1002_opt_02.text,硬吃这一轮羞辱，暂时不和他翻脸
opt.1002_opt_02.result,你把这口气咽了下去，没有当场把局面闹大。疼是实打实的，可你也因此多看清了一点：王麻子今天比往常更急，更像是在替什么人提前筛人。
opt.1002_opt_03.text,当众顶回去，试着扛住他的威压
opt.1002_opt_03.result,你没有立刻退让，而是硬顶着他的压迫回望过去。你想看的不是输赢，而是王麻子究竟敢不敢在众目睽睽下把事情做绝。
opt.1002_opt_03.success,你撑住了。他脸上的凶相只闪了一瞬，就迅速换成了更深的算计。那一瞬间你知道，自己果然已经碰到了不该碰的线。
opt.1002_opt_03.failure,你终究没能硬撑到底，反被他借势压了一头。可吃苦并不是白吃的，你也因此更确定，王麻子最近下手比平时更狠，不只是为了立威。
evt.1003.title,第一次正式选边
evt.1003.desc,到了第四夜，你已经不能再靠本能乱撞了。柳飞霞的靠近、白天里越来越紧的筛人气味、以及夜里反复逼近的异声，正在逼你承认一件事：从今晚开始，你每往前走一步，都等于在替自己选一条活路。
opt.1003_opt_01.text,继续借柳飞霞这条线往里探
opt.1003_opt_01.result,你决定先把柳飞霞再往前推一步。她未必可信，但只要她还怕王麻子、还怕自己先被灭口，就还有利用价值。
opt.1003_opt_02.text,冒险去翻丹房旧账
opt.1003_opt_02.result,你决定从人留下的痕迹里找答案。账册不会主动开口，但谁删了页、谁在怕人翻到哪一页，往往比嘴上的话更诚实。
opt.1003_opt_02.success,你成功摸到了最不该留下的一层旧记录。族兄的死、王麻子的动作、丹房里被抹掉的那段时间，终于开始连成一条线。
opt.1003_opt_02.failure,你没能把最关键的那部分账页完整拿到手，反而在仓促间留下了痕迹。可就连这种掩盖本身，也已经说明有人比你更怕真相见光。
opt.1003_opt_03.text,顺着后墙和化骨池方向继续追痕
opt.1003_opt_03.result,你决定不再绕路。最脏、最险、最可能把你拖下去的地方，往往也离真相最近。你要看看族兄死前到底踩到了谁的线。
opt.1003_opt_04.text,先按住不动，保住自己再说
opt.1003_opt_04.result,你没有真的退开，只是暂时把手收了回来。现在死得太快只会让别人更省事，你得把自己留到最值钱的时候再押出去。
evt.1004.title,丹房点名
evt.1004.desc,第五夜，丹房里终于传出了再也压不住的惨叫。疯长老开始亲自挑人试药，活着出来的人会被记住，死在里面的人连名字都留不下。你若被点到，就得立刻决定自己拿什么换命。
opt.1004_opt_01.text,硬扛这一轮试药，先活着走出来
opt.1004_opt_01.result,你把这次试药当成真正的生死关。只要还能站着走出丹房，后面所有谈判、投靠和翻盘才有意义。
opt.1004_opt_02.text,拿族兄和玉简的秘密去和疯长老换命
opt.1004_opt_02.result,你不打算白白挨这一刀。若疯长老真把活人当药材，那你手里那点别人都在抢的秘密，也许正是最值钱的一味药引。
evt.1005.title,月考前夜
evt.1005.desc,第六夜已经不适合继续散着查了。你前几天拼来的线索、挨下的打、留住的人和暴露出去的东西，都在逼你收束成一条明确路线。再不选边，明天的月考就会替你选。
opt.1005_opt_01.text,把线索整理成能递出去的把柄
opt.1005_opt_01.result,你决定先把自己手里能说得出口的那部分东西收成一份结果。活下去不是光靠真相，还得看你把真相递给谁。
opt.1005_opt_02.text,把线索收成一条自己能走的潜行路线
opt.1005_opt_02.result,你不想把命全押在别人脸色上。若真要闯月考，你至少得给自己留一条能躲、能绕、能突然翻盘的路。
opt.1005_opt_03.text,向疯长老低头，换一条被他留用的活路
opt.1005_opt_03.result,你第一次正面承认，疯长老也许不是要不要信的问题，而是能不能利用的问题。只要他愿意把你留作药材而不是废料，你就还有下一步。
opt.1005_opt_04.text,你还是没能真正决定站哪边
opt.1005_opt_04.result,你手里已经握了不少碎片，却还缺少把它们真正拼成一路的决断。拖延本身也会变成代价，而月考不会等你慢慢想明白。
evt.1006.title,外门月考
